STT,Phân hệ / Mã,Tên Chức Năng / Use Case,File Giao Diện Frontend,API Endpoint,Backend Controller,Backend Service Implementation,Bảng CSDL Tác Động & Trường Then Chốt,Điểm Chốt Kỹ Thuật / Trọng Tâm Bảo Vệ,Trạng Thái Ôn Tập
11,BF-10 (Quản trị),Admin Dashboard KPI & Sức khỏe sàn,PlatformDashboardPage.tsx (L1-150),GET /api/platform/dashboard,PlatformController.java (L158),PlatformServiceImpl.java (L398-505),"users, tutoring_classes, disputes, wallets, escrow_transactions","Tổng hợp 4 khối: Risk Summary (overdue tickets, open disputes, escrow exposure), Financial Flow (feeRate 10%), Health Metrics (tutors, centers, classes), Queue Preview.",Đang học
12,BF-10 (Quản trị),Quản lý User & Khóa Token JWT tức thì,PlatformUsersPage.tsx (L1-130),PATCH /api/platform/users/{id}/status,PlatformController.java (L135),PlatformServiceImpl.java (L298-324),"users (status, token_version), audit_logs",Bảo mật 2 lớp: JwtAuthenticationFilter kiểm tra userDetails.isEnabled() (bị ban là 401 ngay) + tokenVersion kiểm tra phiên. Không cho ban Admin.,Đang học
13,BF-10 (Quản trị),Thẩm định danh tính eKYC CCCD / Bằng cấp,PlatformVerificationsPage.tsx (L1-160),POST /api/platform/verifications/{id}/review,PlatformController.java (L199),PlatformServiceImpl.java (L542-613),"verification_requests, verification_histories, tutors, tutor_centers","Khóa sửa đồng thời (expectedUpdatedAt), từ chối ép nhập lý do >= 10 ký tự, tự động vô hiệu hóa bản ghi CCCD cũ cùng loại, đồng bộ profileStatus sang VERIFIED/REJECTED.",Đang học
14,BF-10 (Quản trị),Can thiệp sự cố lớp học 7 phương án & Khóa Escrow,PlatformReportsPage.tsx (L1-180),PATCH /api/platform/reports/{id}/resolve,PlatformController.java (L271),PlatformServiceImpl.java (L829/L873/L1726),"reports, disputes, escrow_transactions, audit_logs","7 actions: REQUEST_MORE_INFO, CONTINUE, RESCHEDULE, REPLACE_TUTOR, TERMINATE, ESCALATE_TO_DISPUTE, CLOSE_NO_ACTION. Nếu ESCALATE/TERMINATE -> tự gọi escrowService.holdForDispute() khóa tiền và sinh Dispute.",Đang học
15,BF-10 (Quản trị),Ban hành chế tài xử phạt người dùng (Penalties),PlatformPenaltiesPage.tsx (L1-100),POST /api/platform/penalties,PlatformPenaltyController.java (L45),PenaltyServiceImpl.java (L50),"user_penalties, audit_logs","Phạt cảnh cáo (WARNING), giới hạn tính năng (FEATURE_RESTRICTION), tạm khóa, khóa vĩnh viễn. Có thời hạn expiresAt.",Đang học
16,BF-10 (Quản trị),Chặn tính năng liên module (Gatekeeper),Liên kết toàn hệ thống,"requireFeature(userId, featureCode)",Không có (Internal Service Call),PenaltyAccessServiceImpl.java (L45-53),"user_penalties (status=ACTIVE, expiresAt > now)","Chặn 4 chốt: FinanceService:178 (WITHDRAWAL), MarketplaceService:369 (CLASS_POSTING), MarketplaceService:514 (CLASS_APPLICATION), ChatService:394 (MESSAGING).",Đang học
17,BF-10 (Quản trị),Phát hiện lách sàn bằng Regex 4 tầng,PlatformCircumventionPage.tsx (L1-120),GET /api/platform/circumventions,CircumventionController.java (L30),CircumventionServiceImpl.java (L65-90),"circumvention_events, audit_logs","4 bộ lọc Regex: PHONE (score 80), EMAIL (score 90), URL (score 70), SOCIAL (score 65). Xem ngữ cảnh hội thoại trước/sau để xử phạt.",Đang học
18,BF-10 (Quản trị),Giám sát Nhật ký kiểm toán bất biến (Audit Log),PlatformAuditLogsPage.tsx (L1-110),GET /api/platform/audit-logs,AuditLogController.java (L30),AuditLogServiceImpl.java (L75-115),"audit_logs (action, entity_type, old_value, new_value, ip, user_agent)","Lưu JSON Diff (Jackson ObjectMapper), tự trích xuất IP/User-Agent từ HttpServletRequest. Bất biến (Immutable - chỉ INSERT/SELECT, không UPDATE/DELETE).",Đang học
19,BF-10 (Quản trị),Báo cáo Tài chính & Xuất CSV an toàn,PlatformAnalyticsPage.tsx (L1-140),GET /api/platform/analytics/export-csv,PlatformAnalyticsController.java (L80),PlatformAnalyticsServiceImpl.java (L359-420),"payment_transactions, escrow_transactions, tutoring_classes",2 kỹ thuật đạt điểm tối đa: UTF-8 BOM Header (﻿) chống lỗi font tiếng Việt trong Excel + chèn dấu nháy đơn (') đầu ô chống CSV Formula Injection (DDE). Phân trang 10k dòng chống OOM.,Chưa học
20,BF-10 (Quản trị),Quản trị dòng tiền ký quỹ Escrow,PlatformEscrowPage.tsx (L1-100),GET /api/platform/escrow,AdminEscrowController.java (L30),AdminEscrowServiceImpl.java (L50),escrow_transactions,"Giám sát các trạng thái Escrow: FUNDED, ON_HOLD, DISPUTED, RELEASED, REFUNDED. Nắm tổng tiền ký quỹ bảo vệ người dùng.",Chưa học
21,BF-10 (Quản trị),Cấu hình tỷ lệ phí sàn đối tác,PlatformFeeSettingsPage.tsx (L1-90),PUT /api/platform/centers/{id}/fee,PlatformController.java (L420),PlatformServiceImpl.java (L1050),tutor_centers (platform_fee_rate),Tùy biến tỷ lệ chiết khấu cho các trung tâm gia sư lớn (VD từ 10% xuống 8% để thu hút đối tác).,Chưa học
22,BF-10 (Quản trị),Quản lý mẫu hợp đồng Master (Template),PlatformContractTemplatesPage.tsx (L1-90),POST /api/platform/contract-templates,PlatformController.java (L480),PlatformServiceImpl.java (L2100),contract_templates,"Quản lý điều khoản hợp đồng mẫu chuẩn pháp lý, dùng làm khung cho hợp đồng điện tử UC-44.",Chưa học
23,AI RAG (UC-65),Trợ lý ảo AI Universal RAG 12 Bước,"AiFloatingWidget.tsx, AiAssistantPage.tsx",POST /api/ai/chat,AiController.java (L50),AiServiceImpl.java (L118-350),"ai_chat_sessions, ai_chat_messages, ai_knowledge_chunks",12 mắt xích: Safety Guard -> Synonym -> Cache (<50ms) -> 3-Tier Intent (12 Rules) -> Fast-path -> Rewrite -> RBAC -> Hybrid Search -> Business Context DB -> Expansion -> Multi-Provider Router -> Hallucination Guard.,Chưa học
24,Hợp đồng (UC-44),Hợp đồng điện tử Ký số OTP 2 lớp,ContractDetailPage.tsx (L1-150),POST /api/contract/{id}/sign-otp,ContractController.java (L80),ContractServiceImpl.java (L350-450),"contracts, contract_otps, contract_signatures","OTP 6 số qua email (hạn 5 phút), chữ ký điện tử kèm IP & timestamp. Khi cả 2 bên cùng ký -> chuyển ACTIVE và kích hoạt Escrow.",Chưa học
25,Đánh giá (UC-44),Đánh giá sao sau buổi học & Tính điểm Uy tín,ContractDetailPage.tsx (L150-220),POST /api/contract/reviews,ContractController.java (L48),ReviewServiceImpl.java (L59-120),"reviews, class_assignments","Chỉ thành viên tham gia lớp mới được review, mỗi phân công đúng 1 lần. Tự động tính lại Reputation Score trung bình cho gia sư.",Chưa học
26,Hồ sơ (M4),Tách biệt hồ sơ 3 vai trò (Client/Tutor/Center),"ClientProfilePage, TutorProfilePage, CenterProfilePage","PUT /api/profile/client, tutor, center",ProfileController.java (L45),ProfileServiceImpl.java (L110),"clients, tutors, tutor_centers","Tách rõ trường dữ liệu: Client (con cái phụ thuộc), Tutor (môn dạy, học vị, chứng chỉ), Center (mã số thuế, giấy phép).",Chưa học
27,Bảo mật (DEF-62),Quên mật khẩu OTP qua Email,"ForgotPasswordPage.tsx, ResetPasswordPage.tsx",POST /api/identity/reset-password,IdentityController.java (L75),IdentityServiceImpl.java (L230),"password_reset_tokens, users","Sinh token OTP qua MailService, thời hạn 15 phút, cập nhật mật khẩu băm BCrypt, vô hiệu hóa token sau khi dùng.",Chưa học
