"Sheet","WorkflowTitle","TC_ID","Description","Procedure","Expected","Precondition","Round1","Tester"
"Workflow Name4","Ký Hợp đồng điện tử (OTP)","ST-CON-03","Bảo mật: bên thứ ba không thể xem/ký hợp đồng","1. User không liên quan cố xem chi tiết và ký hợp đồng.","- Bị 403: không có quyền xem / không thể ký thay người khác.","Hợp đồng tồn tại giữa hai bên khác.","Pending",""
"Workflow Name5","Thanh toán Ký quỹ End-to-End","ST-PAY-01","Nạp → khóa escrow → học → giải ngân → rút","1. Phụ huynh nạp tiền qua cổng SePay (webhook xác nhận).
2. Ký hợp đồng → escrow khóa tiền.
3. Lớp kích hoạt, học và hoàn tất.
4. Hệ thống tất toán, giải ngân cho gia sư.
5. Gia sư tạo yêu cầu rút, admin duyệt.","- Số dư ví phụ huynh tăng sau nạp.
- Escrow FUNDED (available→frozen); lớp active.
- Sau hoàn tất: tiền chuyển vào ví gia sư (journal đúng).
- Rút tiền APPROVED, số dư gia sư giảm tương ứng.","Ví các bên ACTIVE; có lớp cần thanh toán.","Pending",""
"Workflow Name5","Thanh toán Ký quỹ End-to-End","ST-PAY-02","Idempotent webhook SePay","1. Gửi webhook nạp tiền cho một reference.
2. Gửi lại webhook trùng reference.","- Lần 1 cộng tiền, topup COMPLETED.
- Lần 2 không tạo giao dịch mới, số dư không đổi.","Có lệnh nạp pending với reference.","Pending",""
"Workflow Name5","Thanh toán Ký quỹ End-to-End","ST-PAY-03","Chặn giao dịch không hợp lệ","1. Rút tiền vượt số dư khả dụng.
2. Nạp/rút số tiền ≤ 0.","- Bị chặn với thông báo phù hợp (số dư không đủ / số tiền phải > 0).
- Không thay đổi số dư.","Ví có số dư xác định.","Pending",""
"Workflow Name6","Vòng đời Buổi học","ST-LES-01","Điểm danh xuyên suốt đến khi hoàn tất lớp","1. Gia sư check-in đầu buổi, check-out cuối buổi cho từng buổi.
2. Điểm danh học sinh mỗi buổi.
3. Hoàn tất đủ số buổi của lớp.","- Trạng thái từng buổi cập nhật đúng (in/out).
- Điểm danh học sinh lưu chính xác.
- Lớp chuyển hoàn tất khi đủ buổi → sẵn sàng tất toán.","Lớp đang hoạt động, có lịch buổi.","Pending",""
"Workflow Name6","Vòng đời Buổi học","ST-LES-02","Đổi lịch và thêm buổi phát sinh","1. Gia sư/phụ huynh yêu cầu đổi lịch một buổi.
2. Bên còn lại duyệt.
3. Yêu cầu thêm buổi (lý do hợp lệ) và duyệt.","- Lịch buổi cập nhật sau khi duyệt; không trùng buổi khác.
- Buổi thêm được tạo.
- Chặn khi đang có yêu cầu chờ / ngày quá khứ / giờ không hợp lệ.","Buổi chưa có yêu cầu đổi lịch chờ.","Pending",""
"Workflow Name6","Vòng đời Buổi học","ST-LES-03","Nhờ dạy thay có duyệt","1. Gia sư nhờ dạy thay một buổi.
2. Trung tâm/quản lý duyệt và gán gia sư phụ.","- Tạo yêu cầu dạy thay; sau duyệt gán gia sư phụ cho buổi.
- Chặn buổi quá khứ / không thuộc lớp.","Có gia sư phụ và buổi từ hôm nay trở đi.","Pending",""
"Workflow Name7","Tranh chấp, Báo cáo & Hoàn tiền","ST-DIS-01","Tranh chấp → tạm giữ → hoàn một phần","1. Phụ huynh tạo tranh chấp cho lớp đang có escrow khóa.
2. Admin xem và xử lý (hoàn một phần > 0).
3. Kiểm tra ví các bên.","- Dispute OPEN; escrow ON_HOLD.
- Sau xử lý: RESOLVED, giải ngân + hoàn tiền về ví client đúng số; journal đầy đủ.","Có escrow đang khóa của lớp.","Pending",""
"Workflow Name7","Tranh chấp, Báo cáo & Hoàn tiền","ST-DIS-02","Khiếu nại/mở lại tranh chấp đã xử lý","1. Đúng chủ thể gửi khiếu nại cho tranh chấp đã RESOLVED.
2. Người không có quyền cũng thử khiếu nại.","- Đúng chủ thể: chuyển trạng thái khiếu nại/mở lại.
- Người không có quyền: bị 403.","Có tranh chấp đã RESOLVED.","Pending",""
"Workflow Name7","Tranh chấp, Báo cáo & Hoàn tiền","ST-DIS-03","Báo cáo sự cố lớp → chuyển thành tranh chấp","1. Người dùng tạo báo cáo sự cố lớp.
2. Admin xử lý, chuyển thành tranh chấp từ escrow còn hiệu lực.","- Tạo Report; admin chuyển thành Dispute.
- Nếu lớp nhiều escrow: yêu cầu chỉ định escrow cụ thể.","Có báo cáo sự cố chưa xử lý + escrow còn hiệu lực.","Pending",""
"Workflow Name8","Đánh giá & Uy tín Gia sư","ST-REV-01","Đánh giá → cập nhật uy tín → phản hồi","1. Học viên đánh giá gia sư (rating 1..5, nhiều tiêu chí) sau khi hoàn tất buổi.
2. Xem uy tín gia sư cập nhật và hiển thị công khai.
3. Gia sư phản hồi đánh giá; học viên chỉnh sửa đánh giá của mình.","- Tạo Review; điểm uy tín/ratingAvg gia sư được tính lại và hiển thị.
- Gia sư phản hồi được lưu; sửa đánh giá thành công (rating hợp lệ).
- Chặn đánh giá/sửa không đúng chủ thể hoặc rating ngoài 1..5.","Có phân công/buổi đã hoàn tất chưa đánh giá.","Pending",""
"Workflow Name9","Luồng Trung tâm","ST-CEN-01","Từ tuyển gia sư đến vận hành lớp trung tâm","1. Trung tâm đăng tin tuyển dụng → gia sư ứng tuyển → duyệt đơn.
2. Trung tâm tạo lớp (dữ liệu hợp lệ) → publish.
3. Gán gia sư chính/phụ → mở tuyển sinh.
4. Học viên ghi danh; gia sư điểm danh buổi.","- Tin OPEN, đơn ứng tuyển được duyệt (chặn trùng/chưa xác minh).
- Lớp DRAFT→mở tuyển sinh; gán gia sư đúng (chặn trùng lịch).
- Ghi danh & điểm danh hoạt động đúng.","Trung tâm đã xác minh; có gia sư đã xác minh.","Pending",""
"Workflow Name9","Luồng Trung tâm","ST-CEN-02","Phụ huynh gửi yêu cầu mở lớp tới trung tâm","1. Phụ huynh gửi yêu cầu tới trung tâm đã xác minh.
2. Trung tâm chấp nhận (tạo lớp) hoặc từ chối.
3. Phụ huynh hủy yêu cầu đang chờ.","- Tạo ClassRequest PENDING (chặn khi trung tâm chưa xác minh/nội dung trống/quá nhiều yêu cầu).
- Chấp nhận → tạo lớp; từ chối/hủy cập nhật trạng thái đúng.","Phụ huynh & trung tâm hợp lệ.","Pending",""
"Workflow Name10","Quản trị Hệ thống, Hỗ trợ & Bảo mật","ST-ADM-01","Admin quản lý người dùng & hình phạt","1. Admin xem danh sách người dùng, khóa/mở tài khoản.
2. Ra hình phạt (cấm tạm thời) cho vi phạm, sau đó thu hồi.","- Trạng thái tài khoản cập nhật (chặn đổi trạng thái tài khoản admin/không hợp lệ).
- Hình phạt ACTIVE rồi REVOKED đúng luồng.","Đăng nhập admin; có user thường.","Pending",""
"Workflow Name10","Quản trị Hệ thống, Hỗ trợ & Bảo mật","ST-ADM-02","Hỗ trợ: ticket, chat & thông báo","1. User tạo ticket hỗ trợ → admin phản hồi → đóng (RESOLVED).
2. User mở lại ticket.
3. User & admin chat trực tiếp; user đọc thông báo.","- Ticket tạo/phản hồi/đóng/mở lại đúng trạng thái.
- Chat gửi/đọc được; chặn tự chat với chính mình & gửi khi không tham gia.
- Thông báo hiển thị và đánh dấu đã đọc.","Có user và admin.","Pending",""
"Workflow Name10","Quản trị Hệ thống, Hỗ trợ & Bảo mật","ST-ADM-03","Bảo mật: kiểm soát phân quyền theo vai trò","1. User thường gọi các API dành cho admin (duyệt xác minh, hình phạt, quản lý user).
2. Truy cập tài nguyên của người khác (hợp đồng, ticket, thông báo).","- Tất cả bị 403/Forbidden theo vai trò.
- Không rò rỉ dữ liệu chéo giữa người dùng.","Có tài khoản user thường và dữ liệu của người khác.","Pending",""
